ID,标题,类型,分类,内容,英文内容
"900001","巫妖领地冰封废土","场景","A暗黑系","巫妖领域冻土荒原风格。一片被黑色冰层覆盖的广阔冻土。远处，一座大型的黑暗城堡矗立着，那里是强大巫妖的居所。空气刺骨寒冷，呼啸的风中带着巫妖受害者的低语。被巫妖的黑暗魔法驱动的骷髅士兵巡逻在冰冻的景观上。奇怪的、发光的蓝黑色球体在空中飘浮，投下一种怪异的光线。","lich's domain frozen wasteland style . A vast, frozen expanse of land covered in a layer of black ice. In the distance, a large, dark castle stands, home to a powerful lich. The air is bitterly cold, and the howling wind carries the whispers of the lich's victims. Skeletal soldiers, animated by the lich's dark magic, patrol the frozen landscape. Strange, glowing, blue - black orbs float in the air, casting an eerie light"
"900002","星际港口宇宙都市","场景","A暗黑系","星际港口宇宙城市风格。一个建立在星球上的城市，可以看到繁忙的太空港。各种形状和大小的宇宙飞船停靠在港口，城市的建筑由先进的发光材料制成。天空中充满了过往宇宙飞船留下的光迹，街道上行走着来自不同星球的外星种族。","interstellar port cosmic city style . A city built on a planet with a view of a bustling spaceport. Spaceships of various shapes and sizes dock at the port, and the city's buildings are made of advanced, light - emitting materials. The sky is filled with streaks of light from passing spacecraft, and there are alien species from different planets walking on the streets"
"900003","龙巢火山岩浆峡谷","场景","A暗黑系","龙穴火山熔岩峡谷风格。一个深峡谷边缘有活跃火山，喷出熔岩河流。在峡谷的悬崖上，有大洞穴作为强大龙族的巢穴。龙的鳞片反射着熔岩的红橙色光芒，峡谷墙壁上生长着稀有的耐热植物。","dragon's lair volcanic magma canyon style . A deep canyon with active volcanoes at its edges, spewing out rivers of glowing magma. In the cliffs of the canyon, there are large caves that serve as lairs for powerful dragons. The dragons' scales reflect the red - orange glow of the magma, and there are rare, heat - resistant plants growing on the canyon walls"
"900004","糖果糖果甜蜜小镇","场景","A暗黑系","糖果涂层的甜蜜小镇风格。一个城镇，每栋建筑都是由五颜六色的糖果和甜点制成。房屋的屋顶由软糖制成，街道铺着糖果色的鹅卵石。有巨大的棒棒糖树和飘浮在头顶的棉花糖云。空气中充满了糖果的甜美香味，而且有友好的糖果主题生物在四处奔跑。","candy - coated sweet town style . A town where every building is made of colorful candies and sweets. The houses have roofs made of gumdrops, and the streets are paved with candy - colored cobblestones. There are giant lollipop trees and cotton - candy clouds floating overhead. The air is filled with the sweet smell of confectionery, and there are friendly, candy - themed creatures running around"
"900005","量子森林奇异世界","场景","A暗黑系","量子森林奇异风格。一个物理定律似乎弯曲的森林。树木有随机出现和消失的枝条，叶子发出柔和的量子波动光。小的球形生物，体内充满能量，在树木间飘浮，而且森林中隐藏着通往不同维度的传送门。","quantum forest strange world style . A forest where the laws of physics seem to bend. Trees have branches that disappear and reappear randomly, and the leaves emit a soft, quantum - fluctuating light. Small, spherical creatures with energy - filled cores float among the trees, and there are portals that lead to different dimensions hidden within the forest"
"900006","梦境花海幻影平原","场景","A暗黑系","梦幻花海幻影平原风格。一片广阔的平原被一片花海覆盖，花朵会根据观赏者的思绪改变形状和颜色。在花丛中，一些早已被遗忘的英雄和神话生物的幻影般的身影时隐时现。空气中弥漫着一种温和的、令人产生幻觉的香气，还有一些小的、漂浮的光球引导着穿过平原的路径。","dreamy flower sea phantom plain style . A vast plain covered in a sea of flowers that change shape and color according to the viewer's thoughts. Among the flowers, phantom - like figures of long - forgotten heroes and mythical beings appear and disappear. The air is filled with a gentle, dream - inducing fragrance, and there are small, floating orbs of light that lead the way through the plain"
"900007","恶魔深渊熔岩裂谷","场景","A暗黑系","恶魔深渊熔岩裂谷风格。一个巨大的深裂谷，其壁为黑色烧焦的岩石。熔岩河在底部流动，用地狱般的红橙色光芒照亮裂谷。扭曲的恶魔长着角和火红的眼睛，从深处升起，用蝙蝠般的翅膀飞翔。空气中充满了它们的咆哮声和熔岩的噼啪声。","demon abyss lava rift style . A massive, deep rift in the ground, with walls of black, charred rock. Rivers of molten lava flow at the bottom, lighting up the rift with a hellish red - orange glow. Demons with twisted horns and fiery eyes emerge from the depths, flying on bat - like wings. The air is filled with the sound of their growls and the crackling of the lava"
"900008","吸血古堡血色荒原","场景","A暗黑系","吸血鬼城堡血红荒漠风格。一座用深色石材建成的巨大而雄伟的城堡，尖塔似乎要刺破血红色的天空。城堡周围是一片荒凉的荒地，覆盖着一层干涸的血红色沙子。吸血鬼蝙蝠在城堡周围盘旋，吸血鬼守卫在门口站岗。唯一的生命迹象是偶尔被拖入城堡的受害者。","vampire castle blood - red wasteland style . A large, imposing castle made of dark stone, with spires that seem to pierce the blood - red sky. The castle is surrounded by a desolate wasteland covered in a layer of dried - blood - colored sand. Vampire bats circle around the castle, and there are vampire guards standing watch at the gates. The only signs of life are the occasional victims being dragged into the castle"
"900009","邪影古墓诅咒之地","场景","A暗黑系","邪恶阴影古墓诅咒之地风格。一片荒芜贫瘠的土地，中心是一座古老的墓穴。墓穴由黑色、风化的石头建成，奇怪的阴影似乎从石头的裂缝中出现。空气中充满了不祥的预感，墓穴周围的地面上刻有被诅咒的符号。任何接近墓穴的生物都有可能被居住在里面的邪恶灵魂附身。","evil shadow ancient tomb cursed land style . A desolate, barren land with an ancient tomb at its center. The tomb is made of black, weather - worn stone, and strange, shadowy figures seem to emerge from the cracks in the stone. The air is filled with a sense of foreboding, and there are cursed symbols engraved on the ground around the tomb. Any living creature that approaches the tomb risks being possessed by the evil spirits that inhabit it"
"900010","诅咒荆棘黯夜森林","场景","A暗黑系","诅咒荆棘之夜森林风格。一片密集的森林中，扭曲的黑色树木被长而尖锐的刺覆盖，这些刺似乎能自行移动。空气中充满了深紫色的浓雾，地面上散落着未知生物的骨头。阴森的发光眼睛从阴影中窥视，属于那些潜伏在树木间的幽暗野兽。","cursed thorn night forest style . A dense forest where gnarled, black - colored trees are covered in long, sharp thorns that seem to move on their own. The air is thick with a dark, purplish mist, and the ground is littered with the bones of unknown creatures. Eerie, glowing eyes peer from the shadows, belonging to shadowy beasts that lurk among the trees"
