标题,内容,分类,标签
代码优化专家,"请作为一位资深的代码优化专家,帮我优化以下代码。请关注:
1. 性能优化
2. 代码可读性
3. 最佳实践
4. 潜在的bug

代码如下:",编程,代码|优化|性能
文案创作助手,"请作为一位专业的文案创作专家,帮我创作一段吸引人的文案。要求:
1. 语言生动有趣
2. 符合目标受众
3. 突出核心卖点
4. 引发情感共鸣

主题:",写作,文案|创作|营销
英译中翻译,"请将以下英文翻译成中文,要求:
1. 准确传达原意
2. 语言通顺自然
3. 符合中文表达习惯

原文:",翻译,英译中|翻译
中译英翻译,"请将以下中文翻译成英文,要求:
1. 准确传达原意
2. 语言地道自然
3. 符合英文表达习惯

原文:",翻译,中译英|翻译
Bug分析专家,"请作为一位经验丰富的程序员,帮我分析以下代码中可能存在的bug:
1. 逻辑错误
2. 边界条件
3. 性能问题
4. 安全隐患

代码:",编程,bug|调试|分析
产品需求文档,"请作为产品经理,帮我撰写以下功能的需求文档,包含:
1. 功能描述
2. 用户场景
3. 功能要点
4. 验收标准

功能:",产品,PRD|需求|产品
SQL查询优化,"请作为数据库专家,帮我优化以下SQL查询:
1. 提高查询性能
2. 添加必要的索引建议
3. 优化查询逻辑
4. 避免常见陷阱

SQL:",数据库,SQL|优化|数据库
正则表达式,"请帮我编写一个正则表达式,用于匹配:

要求:
1. 提供表达式
2. 解释各部分含义
3. 给出测试示例",编程,正则|regex|工具
代码注释,"请为以下代码添加详细的注释:
1. 函数/方法说明
2. 参数说明
3. 返回值说明
4. 关键逻辑解释

代码:",编程,注释|文档
面试题解答,"请作为面试官,提供以下面试题的详细解答:
1. 问题分析
2. 解决思路
3. 代码实现
4. 时间复杂度分析

题目:",学习,面试|算法|学习
